time	V(vout)	V(n001)	V(n012)	V(n013)
3.907152728037071e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.000522e+000
3.921458184111214e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.001842e+000
3.961249872095326e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.005411e+000
4.001041560079438e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.008856e+000
4.040833248063551e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.012176e+000
4.080624936047663e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.015372e+000
4.120416624031776e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.018444e+000
4.160208312015888e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.021390e+000
4.200000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.024213e+000
4.207324393509961e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.024721e+000
4.251270754569727e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.027698e+000
4.300000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.030908e+000
4.305859514807969e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.031281e+000
4.317578544423907e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.032021e+000
4.341016603655782e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.033475e+000
4.387892722119532e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.036325e+000
4.400000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.037049e+000
4.409375223692750e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.037596e+000
4.428125671078250e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.038677e+000
4.465626565849250e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.040798e+000
4.500000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.042707e+000
4.507500178954200e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.043112e+000
4.522500536862600e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.043915e+000
4.552501252679400e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.045491e+000
4.600000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.047944e+000
4.606000143163360e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.048245e+000
