time	V(vout)	V(n001)	V(n012)	V(n013)
3.480801989064313e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.682881e+000
3.490000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683444e+000
3.491924773754352e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683547e+000
3.499623868771759e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683919e+000
3.500752262456482e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683968e+000
3.510000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684323e+000
3.511805429895556e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684383e+000
3.515833225624763e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684506e+000
3.519861021353969e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684620e+000
3.523888817083176e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684723e+000
3.527916612812381e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684817e+000
3.531944408541588e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684901e+000
3.535972204270794e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684975e+000
3.540000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685039e+000
3.541848760213050e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685066e+000
3.549243801065249e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685162e+000
3.552958016340879e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685201e+000
3.555482734504476e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685226e+000
3.558007452668072e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685248e+000
3.560532170831669e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685269e+000
3.563056888995265e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685287e+000
3.565581607158862e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685304e+000
3.568106325322458e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685319e+000
3.570631043486055e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685332e+000
3.600640000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685389e+000
3.609600000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685380e+000
3.611177142857143e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685377e+000
3.612754285714286e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685374e+000
3.614331428571429e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685370e+000
3.615908571428572e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685367e+000
3.617485714285715e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685363e+000
3.619062857142858e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685359e+000
3.620640000000001e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685355e+000
3.640639999999987e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685286e+000
3.660640000000300e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685194e+000
3.680639999992806e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.685087e+000
3.700640000172662e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684970e+000
3.720639995856115e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684848e+000
3.729817281529097e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684791e+000
3.738994567202080e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684733e+000
3.748171852875062e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684675e+000
3.757349138548044e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684617e+000
3.766526424221027e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684559e+000
3.775703709894009e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684500e+000
